Salário,Idade,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Brasil,Estado,Linguagem Python,Linguagem R,Linguagem SQL
1500.0,"[31,40]",Outras,Pequena,não,Não tenho experiência na área de dados,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Minas Gerais (MG),0,0,0
2500.0,"[18,24]",Analista de Dados,Grande,não,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,São Paulo (SP),1,0,1
5000.0,"[25,30]",Outras,Grande,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),1,São Paulo (SP),1,0,0
1500.0,"[18,24]",Analista de BI,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,1
7000.0,"[25,30]",,Pequena,sim,de 4 a 5 anos,Outros,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,,1,0,1
3500.0,"[25,30]",Outras,Média,não,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Paraná (PR),0,0,0
7000.0,"[31,40]",,Pequena,sim,Não tenho experiência na área de dados,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),1,0,1
10000.0,"[31,40]",,Pequena,sim,de 2 a 3 anos,Outros,Graduação/Bacharelado,Outras Engenharias,Outras,1,São Paulo (SP),0,0,0
2500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Pequena,não,Não tenho experiência na área de dados,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,0,0,0
10000.0,"[25,30]",Cientista de Dados,Grande,não,de 2 a 3 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,São Paulo (SP),1,1,0
5000.0,"[31,40]",Outras,Grande,não,Não tenho experiência na área de dados,Empregado (CTL),Pós-graduação,Outras Engenharias,Educação,1,,0,0,0
1500.0,"[18,24]",Analista de BI,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),1,1,0
